Sebastian Riedel	http://riedelcastro.github.com/
David Belanger	http://people.cs.umass.edu/~belanger/
Andrew McCallum	http://people.cs.umass.edu/~mccallum/
Limin Yao	http://people.cs.umass.edu/~lmyao/
Sameer Singh	http://people.cs.umass.edu/~sameer/
David Smith	David A. Smith	http://people.cs.umass.edu/~dasmith/
David McClosky	http://nlp.stanford.edu/~mcclosky/
Mihai Surdeanu	http://www.surdeanu.name/mihai/
Alexandre Passos	http://www.ic.unicamp.br/~tachard/
Tuyen N. Huynh	Tuyen Huynh	http://www.ai.sri.com/~huynh/
Hung Bui	http://www.ai.sri.com/~bui/
Ivan Meza-Ruiz	Ivan Vladimir Meza-Ruiz	http://turing.iimas.unam.mx/~ivanvladimir/
James Clarke	http://jamesclarke.net/
Katsumasa Yoshikawa	http://cl.naist.jp/~katsumasa-y/index_en.html
Ewan Klein	http://homepages.inf.ed.ac.uk/ewan/


